labeled_ratio,trial,seed,method,round_idx,epoch_in_round,global_epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_acc_improvement
0.1,2,43,pso,2,4,8,0.401478,0.860907,1.491171,0.5474,0.542238,0.0006
0.1,2,43,pso,3,1,9,0.287151,0.897497,1.638388,0.549,0.544871,0.0016
0.1,2,43,pso,3,2,10,0.178315,0.943811,1.810751,0.543,0.541394,-0.006
0.1,2,43,pso,3,3,11,0.122919,0.960918,2.034422,0.542,0.533127,-0.001
0.1,2,43,pso,3,4,12,0.099167,0.97121,2.331403,0.5228,0.512006,-0.0192
0.1,3,44,manual,1,1,1,1.903838,0.311333,1.644706,0.396,0.385436,0.0
0.1,3,44,manual,1,2,2,1.486107,0.462222,1.446732,0.4824,0.478886,0.0864
0.1,3,44,manual,1,3,3,1.264676,0.540889,1.402142,0.4932,0.486029,0.0108
0.1,3,44,manual,1,4,4,1.084698,0.616889,1.354595,0.525,0.512378,0.0318
0.1,3,44,manual,2,1,5,0.707742,0.750667,1.42534,0.5246,0.522226,-0.0004
0.1,3,44,manual,2,2,6,0.563097,0.801167,1.401532,0.5368,0.534902,0.0122
0.1,3,44,manual,2,3,7,0.449104,0.844,1.460112,0.5454,0.536926,0.0086
0.1,3,44,manual,2,4,8,0.330645,0.891833,1.591558,0.5422,0.542939,-0.0032
0.1,3,44,manual,3,1,9,0.285398,0.9032,1.699529,0.5538,0.547754,0.0116
0.1,3,44,manual,3,2,10,0.185227,0.938133,1.974851,0.5316,0.535312,-0.0222
0.1,3,44,manual,3,3,11,0.113806,0.962533,2.097555,0.5308,0.531827,-0.0008
0.1,3,44,manual,3,4,12,0.080686,0.9772,2.309776,0.5472,0.539071,0.0164
0.1,3,44,pso,1,1,1,1.907966,0.298444,1.622035,0.4172,0.403036,0.0
0.1,3,44,pso,1,2,2,1.472729,0.474667,1.469983,0.471,0.461237,0.0538
0.1,3,44,pso,1,3,3,1.262316,0.541111,1.397099,0.4892,0.485307,0.0182
0.1,3,44,pso,1,4,4,1.055494,0.621111,1.359738,0.5324,0.523019,0.0432
0.1,3,44,pso,2,1,5,0.721693,0.745273,1.435007,0.5168,0.516698,-0.0156
0.1,3,44,pso,2,2,6,0.559823,0.80112,1.454794,0.533,0.527164,0.0162
0.1,3,44,pso,2,3,7,0.420573,0.848915,1.573972,0.5314,0.520983,-0.0016
0.1,3,44,pso,2,4,8,0.324923,0.889881,1.787872,0.5318,0.528816,0.0004
0.1,3,44,pso,3,1,9,0.384042,0.861496,1.625874,0.5268,0.522049,-0.005
0.1,3,44,pso,3,2,10,0.25822,0.912767,1.789312,0.5386,0.536886,0.0118
0.1,3,44,pso,3,3,11,0.173371,0.944685,1.887987,0.5354,0.531459,-0.0032
0.1,3,44,pso,3,4,12,0.114353,0.962449,2.15225,0.5196,0.520733,-0.0158
0.1,4,45,manual,1,1,1,1.91356,0.302444,1.654424,0.4108,0.396488,0.0
0.1,4,45,manual,1,2,2,1.492016,0.464889,1.480452,0.466,0.457669,0.0552
